id	measurementType	measurementValue	measurementUnit
c4d101f9-2421-11e7-a02d-c1c81e3148db	weigth	485	g
c4d101fa-2421-11e7-a02d-c1c81e3148db	weigth	580	g
c4d1291c-2421-11e7-a02d-c1c81e3148db	weigth	575	g
c4d1291d-2421-11e7-a02d-c1c81e3148db	weigth	540	g
c4d1291e-2421-11e7-a02d-c1c81e3148db	weigth	540	g
c4d14f28-2421-11e7-a02d-c1c81e3148db	weigth	605	g
c4d14f29-2421-11e7-a02d-c1c81e3148db	weigth	570	g
c4d14f2a-2421-11e7-a02d-c1c81e3148db	weigth	510	g
c4d17782-2421-11e7-a02d-c1c81e3148db	weigth	525	g
c4d17783-2421-11e7-a02d-c1c81e3148db	weigth	550	g
c4d17784-2421-11e7-a02d-c1c81e3148db	weigth	535	g
c4d19ea6-2421-11e7-a02d-c1c81e3148db	weigth	515	g
c4d19ea7-2421-11e7-a02d-c1c81e3148db	weigth	545	g
c4d1c4b2-2421-11e7-a02d-c1c81e3148db	weigth	490	g
c4d1c4b3-2421-11e7-a02d-c1c81e3148db	weigth	475	g
c4d1c4b4-2421-11e7-a02d-c1c81e3148db	weigth	615	g
c4d1ed0c-2421-11e7-a02d-c1c81e3148db	weigth	505	g
c4d1ed0d-2421-11e7-a02d-c1c81e3148db	weigth	515	g
c4d1ed0e-2421-11e7-a02d-c1c81e3148db	weigth	560	g
c4d21426-2421-11e7-a02d-c1c81e3148db	weigth	520	g
c4d21427-2421-11e7-a02d-c1c81e3148db	weigth	465	g
c4d21428-2421-11e7-a02d-c1c81e3148db	weigth	575	g
c4d23b4a-2421-11e7-a02d-c1c81e3148db	weigth	535	g
c4d23b4b-2421-11e7-a02d-c1c81e3148db	weigth	510	g
c4d23b4c-2421-11e7-a02d-c1c81e3148db	weigth	575	g
c4d26282-2421-11e7-a02d-c1c81e3148db	weigth	500	g
c4d26283-2421-11e7-a02d-c1c81e3148db	weigth	480	g
c4d2887a-2421-11e7-a02d-c1c81e3148db	weigth	520	g
c4d2887b-2421-11e7-a02d-c1c81e3148db	weigth	530	g
c4d44af2-2421-11e7-a02d-c1c81e3148db	weigth	550	g
c4d45e8e-2421-11e7-a02d-c1c81e3148db	weigth	500	g
c4d45e8f-2421-11e7-a02d-c1c81e3148db	weigth	450	g
c4d47220-2421-11e7-a02d-c1c81e3148db	weigth	525	g
c4da4756-2421-11e7-a02d-c1c81e3148db	weigth	470	g
c4da6fb8-2421-11e7-a02d-c1c81e3148db	weigth	500	g
c4da96f0-2421-11e7-a02d-c1c81e3148db	weigth	595	g
c4da96f2-2421-11e7-a02d-c1c81e3148db	weigth	505	g
c4dabe0a-2421-11e7-a02d-c1c81e3148db	weigth	515	g
c4dae542-2421-11e7-a02d-c1c81e3148db	weigth	495	g
c4db0c52-2421-11e7-a02d-c1c81e3148db	weigth	525	g
c4db0c54-2421-11e7-a02d-c1c81e3148db	weigth	605	g
c4db3260-2421-11e7-a02d-c1c81e3148db	weigth	460	g
c4db5ab9-2421-11e7-a02d-c1c81e3148db	weigth	515	g
c4db80a6-2421-11e7-a02d-c1c81e3148db	weigth	490	g
